;log2;;;;;
14;3,8073549220576;;Modèle d’heures ;;range;bits count
1440;10,4918530963297;;;dizaines d’heures;[0,2];2
24;4,58496250072116;;;heures;[0,9];4
10;3,32192809488736;;;dizaines de minutes;[0,5];3
8;3;;;minutes;[0,9];4
60;5,90689059560852;;;;;13
360;8,49185309632968;;;heures;[0,23];5
90;6,49185309632967;;;minutes;[0,59];6
1000;9,96578428466209;;;;;11
11;3,4594316186373;;;minutes;[0,1339];11
31;4,95419631038688;;;;;
;;;;années;[0,999];10
;;;;mois;[0,11];4
;;;;jour;[0,31];5
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
